name,year,rating,length,reviews
The Shawshank Redemption,1994,9.3,2h 22m,2.9M
The Godfather,1972,9.2,2h 55m,2M
The Dark Knight,2008,9.0,2h 32m,2.9M
The Godfather: Part II,1974,9.0,3h 22m,1.4M
12 Angry Men,1957,9.0,1h 36m,861K
Schindler's List,1993,9.0,3h 15m,1.4M
The Lord of the Rings: The Return of the King,2003,9.0,3h 21m,2M
Pulp Fiction,1994,8.9,2h 34m,2.2M
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2h 58m,2M
"Il Buono, Il Brutto, Il Cattivo",1966,8.8,2h 41m,808K
Forrest Gump,1994,8.8,2h 22m,2.2M
The Lord of the Rings: The Two Towers,2002,8.8,2h 59m,1.8M
Fight Club,1999,8.8,2h 19m,2.3M
Inception,2010,8.8,2h 28m,2.5M
Dune: Part Two,2024,8.8,2h 46m,283K
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,2h 4m,1.4M
The Matrix,1999,8.7,2h 16m,2M
GoodFellas,1990,8.7,2h 25m,1.3M
One Flew Over the Cuckoo's Nest,1975,8.7,2h 13m,1.1M
Se7en,1995,8.6,2h 7m,1.8M
Interstellar,2014,8.7,2h 49m,2.1M
It's a Wonderful Life,1946,8.6,2h 10m,498K
Shichinin No Samurai,1954,8.6,3h 27m,366K
The Silence of the Lambs,1991,8.6,1h 58m,1.5M
Saving Private Ryan,1998,8.6,2h 49m,1.5M
City of God,2002,8.6,2h 10m,798K
Life Is Beautiful,1997,8.6,1h 56m,741K
The Green Mile,1999,8.6,3h 9m,1.4M
Terminator 2: Judgment Day,1991,8.6,2h 17m,1.2M
Star Wars: Episode IV - A New Hope,1977,8.6,2h 1m,1.4M
Back to the Future,1985,8.5,1h 56m,1.3M
Spirited Away,2001,8.6,2h 5m,844K
The Pianist,2002,8.5,2h 30m,908K
Parasite,2019,8.5,2h 12m,950K
Psycho,1960,8.5,1h 49m,716K
Spider-man: Across the Spider-verse,2023,8.6,2h 20m,361K
Gladiator,2000,8.5,2h 35m,1.6M
The Lion King,1994,8.5,1h 28m,1.1M
Léon,1994,8.5,1h 50m,1.2M
The Departed,2006,8.5,2h 31m,1.4M
American History X,1998,8.5,1h 59m,1.2M
Whiplash,2014,8.5,1h 46m,982K
The Prestige,2006,8.5,2h 10m,1.4M
Grave of the Fireflies,1988,8.5,1h 29m,309K
Seppuku,1962,8.6,2h 13m,68K
The Usual Suspects,1995,8.5,1h 46m,1.1M
Casablanca,1942,8.5,1h 42m,604K
Intouchables,2011,8.5,1h 52m,925K
Cinema Paradiso,1988,8.5,2h 54m,282K
Modern Times,1936,8.5,1h 27m,259K
Rear Window,1954,8.5,1h 52m,520K
C'era Una Volta Il West,1968,8.5,2h 46m,348K
Alien,1979,8.5,1h 57m,946K
City Lights,1931,8.5,1h 27m,195K
Apocalypse Now,1979,8.4,2h 27m,707K
Django Unchained,2012,8.5,2h 45m,1.7M
12th Fail,2023,9.0,2h 27m,107K
Memento,2000,8.4,1h 53m,1.3M
WALL·E,2008,8.4,1h 38m,1.2M
Raiders of the Lost Ark,1981,8.4,1h 55m,1M
Das Leben der Anderen,2006,8.4,2h 17m,409K
Sunset Blvd.,1950,8.4,1h 50m,236K
Paths of Glory,1957,8.4,1h 28m,212K
Avengers: Infinity War,2018,8.4,2h 29m,1.2M
Spider-Man: Into the Spider-Verse,2018,8.4,1h 57m,666K
The Shining,1980,8.4,2h 26m,1.1M
Witness for the Prosecution,1957,8.4,1h 56m,137K
The Great Dictator,1940,8.4,2h 5m,237K
Alien 2,1986,8.4,2h 17m,760K
Inglourious Basterds,2009,8.4,2h 33m,1.6M
The Dark Knight Rises,2012,8.4,2h 44m,1.8M
Dr,1964,8.4,1h 35m,517K
American Beauty,1999,8.3,2h 2m,1.2M
Oldeuboi,2003,8.3,1h 41m,633K
Coco,2017,8.4,1h 45m,587K
Amadeus,1984,8.4,2h 40m,426K
Toy Story,1995,8.3,1h 21m,1.1M
